timestamp,accel_x,accel_y,accel_z,label
34015,0.3499,-0.0923,0.4517,loose
34020,0.1707,-0.0068,0.6216,loose
34025,-0.0049,-0.1375,0.3994,loose
34030,-0.1951,-0.2175,0.4768,loose
34035,0.0037,0.0796,0.5381,loose
34040,0.3437,-0.2517,0.2720,loose
34045,0.3437,-0.2517,0.2720,loose
34050,0.3437,-0.2517,0.2720,loose
34055,-0.1755,-0.4790,0.2952,loose
34060,0.0610,-0.1091,0.7317,loose
34065,0.3030,-0.1555,0.5056,loose
34070,0.3916,0.0376,0.8713,loose
34075,0.0112,0.1521,0.7559,loose
34080,-0.0129,-0.2764,0.4583,loose
34085,-0.0332,0.1238,0.6736,loose
34090,0.1519,-0.1338,0.1733,loose
34095,0.2322,-0.2639,-0.1968,loose
34100,0.2759,-0.2783,0.2266,loose
34105,-0.1340,-0.2488,0.4114,loose
34110,-0.1729,-0.4951,0.3594,loose
34115,-0.5693,-0.4805,0.5720,loose
34120,-0.1814,-0.2883,0.5747,loose
34125,0.4216,-0.3909,0.3362,loose
34130,0.1235,-0.2905,0.7236,loose
34135,-0.0540,-0.0935,0.4172,loose
34140,-0.2788,-0.3931,0.3962,loose
34145,-0.0330,0.1514,0.6187,loose
34150,0.3057,-0.1860,0.2217,loose
34155,0.3572,-0.1152,0.7271,loose
34160,-0.0244,0.1194,0.4500,loose
34165,-0.1685,-0.3704,0.3423,loose
34170,-0.2385,0.1833,0.5923,loose
34175,0.1555,-0.1143,0.3010,loose
34180,0.5078,-0.1614,0.5559,loose
34185,-0.1253,-0.0628,-0.0628,loose
34190,-0.0903,-0.2839,0.3259,loose
34195,-0.4016,-0.1448,0.4692,loose
34200,0.0864,0.0020,0.4250,loose
34205,0.3960,-0.1550,0.2869,loose
34210,0.1770,-0.0642,0.6582,loose
34215,0.1992,0.1414,0.6785,loose
34220,-0.1978,-0.1018,0.5356,loose
34225,-0.1914,0.1641,0.4111,loose
34230,0.9033,-0.3894,-0.7881,loose
34235,0.6519,-0.0908,0.5867,loose
34240,-0.0393,-0.0117,0.3232,loose
34245,-0.1919,-0.3530,0.4656,loose
34250,-0.3118,0.1121,0.6428,loose
34255,0.2234,-0.2019,0.2180,loose
34260,0.4270,0.0151,0.6892,loose
34265,0.1277,0.1299,0.8220,loose
34270,-0.1479,-0.1833,0.3743,loose
34275,-0.1182,-0.0112,0.4670,loose
34280,0.2117,0.0378,0.5178,loose
34285,0.4275,-0.0054,0.4636,loose
34290,0.1892,0.0828,0.6689,loose
34295,-0.0447,-0.0879,0.1587,loose
34300,-0.1362,-0.2903,-0.3022,loose
34305,-0.0327,0.1604,0.2017,loose
34310,0.1848,-0.0662,0.1145,loose
34315,0.3401,0.1636,1.0627,loose
34320,0.1367,0.1089,0.8530,loose
34325,-0.1533,-0.1243,0.3306,loose
34330,-0.1206,0.3242,0.5667,loose
34335,0.3027,-0.1240,0.2546,loose
34340,0.3174,-0.1128,1.0132,loose
34345,0.0420,-0.0645,0.6636,loose
34350,-0.1350,-0.4648,0.4194,loose
34355,-0.1987,0.0728,0.6189,loose
34360,0.2510,-0.2666,0.1360,loose
34365,0.2864,-0.3545,0.6597,loose
34370,-0.0782,-0.0001,-0.0001,loose
34375,-0.1665,-0.6682,0.2710,loose
34380,-0.3293,-0.1147,0.5732,loose
34385,-0.0271,-0.3528,0.6143,loose
34390,-0.0984,-0.2478,0.5737,loose
34395,-1.1138,-1.1138,-1.1138,loose
34400,-0.1707,-0.5413,0.2778,loose
34405,-0.3525,-0.2202,0.6028,loose
34410,0.1372,-0.3213,0.3193,loose
34415,-0.0298,-0.2610,0.6631,loose
34420,-0.0410,-0.1677,0.5688,loose
34425,-0.1377,-0.3787,0.2788,loose
34430,-2.0000,-0.8418,0.6814,loose
34435,-0.0518,-1.3848,-0.9758,loose
34440,0.1611,-0.2661,0.5930,loose
34445,-0.0945,-0.1716,0.8147,loose
34450,-0.0361,-0.2698,0.3943,loose
34455,-0.1562,-0.3042,0.4893,loose
34460,0.1736,0.1514,0.6719,loose
34465,0.5178,-0.0615,0.3896,loose
34470,0.1685,0.1614,0.7625,loose
34475,-0.0225,0.0129,0.3428,loose
34480,-0.1875,-0.4470,0.2869,loose
34485,-0.0847,0.0918,0.5254,loose
34490,0.2393,-0.3711,0.1892,loose
34495,0.1614,-0.3792,0.7524,loose
34500,-0.1838,-0.6499,0.3228,loose
34505,-0.2527,-0.7415,0.3640,loose
34510,-0.2427,-0.1482,0.6267,loose
34515,0.1799,-0.3706,0.2693,loose
