timestamp,accel_x,accel_y,accel_z,label
149906,-0.0439,-0.5210,0.1047,normal
149911,0.7307,-0.2583,0.3574,normal
149916,0.8518,-0.0403,0.6035,normal
149921,0.4753,-0.1353,0.6265,normal
149926,-0.7283,-0.0422,0.2339,normal
149931,-0.0195,-0.5105,0.1260,normal
149936,0.7339,-0.2581,0.3621,normal
149941,0.8477,-0.0576,0.6309,normal
149946,0.4490,-0.1125,0.6187,normal
149951,-0.4583,0.1843,0.4893,normal
149956,-0.7893,0.2014,0.4287,normal
149961,-0.4548,-0.3618,0.1086,normal
149966,0.4578,-0.4250,0.2563,normal
149971,0.8315,-0.0889,0.4885,normal
149976,0.7156,-0.1355,0.6890,normal
149981,-0.0457,-0.0081,0.5110,normal
149986,-0.7332,0.3042,0.5259,normal
149991,-0.7141,-0.0864,0.2190,normal
149996,0.0198,-0.5505,0.1267,normal
150001,0.7449,-0.2637,0.3604,normal
150006,0.8286,-0.0659,0.6309,normal
150011,0.4326,-0.1213,0.6155,normal
150016,-0.4600,0.1770,0.4907,normal
150021,-0.7952,0.1958,0.4307,normal
150026,-0.4363,-0.3406,0.1021,normal
150031,0.4414,-0.4419,0.2568,normal
150036,0.8242,-0.1150,0.4868,normal
150041,0.7117,-0.1489,0.7031,normal
150046,-0.0098,-0.0208,0.5229,normal
150051,-0.7141,0.2996,0.5154,normal
150056,-0.7190,-0.0623,0.2361,normal
150061,-0.0486,-0.5435,0.1113,normal
150066,0.7136,-0.2798,0.3381,normal
150071,0.8245,-0.0334,0.6104,normal
150076,0.4941,-0.1208,0.6489,normal
150081,-0.3845,0.1655,0.4778,normal
150086,-0.7756,0.2607,0.4641,normal
150091,-0.5122,-0.3123,0.1104,normal
150096,0.3616,-0.4856,0.2334,normal
150101,0.8044,-0.1196,0.4507,normal
150106,0.7573,-0.0920,0.7000,normal
150111,0.1223,-0.0706,0.5388,normal
150116,-0.6589,0.2585,0.5100,normal
150121,-0.7639,0.0227,0.2881,normal
150126,-0.1843,-0.5029,0.0923,normal
150131,0.6423,-0.3298,0.3286,normal
150136,0.8245,-0.0449,0.5669,normal
150141,0.6150,-0.1201,0.6809,normal
150146,-0.2366,0.0671,0.4983,normal
150151,-0.7527,0.2771,0.4949,normal
150156,-0.6140,-0.2134,0.1360,normal
150161,0.1904,-0.5496,0.1709,normal
150166,0.7769,-0.1882,0.3982,normal
150171,0.8010,-0.0432,0.6724,normal
150176,0.3245,-0.1079,0.5735,normal
150181,-0.5310,0.2180,0.4902,normal
150186,-0.7791,0.1675,0.3938,normal
150191,-0.3743,-0.3955,0.0933,normal
150196,0.4868,-0.4253,0.2729,normal
150201,0.8223,-0.0796,0.5000,normal
150206,0.7168,-0.1133,0.7061,normal
150211,-0.0183,0.0217,0.5195,normal
150216,-0.7148,0.3020,0.5195,normal
150221,-0.7195,-0.0952,0.2292,normal
150226,-0.0559,-0.5459,0.1040,normal
150231,0.7078,-0.3123,0.3437,normal
150236,0.8245,-0.0601,0.6165,normal
150241,0.5330,-0.1355,0.6545,normal
150246,-0.3337,0.1238,0.4956,normal
150251,-0.7610,0.2463,0.4768,normal
150256,-0.5518,-0.2898,0.1177,normal
150261,0.2937,-0.5146,0.2058,normal
150266,0.7920,-0.1646,0.4160,normal
150271,0.7605,-0.0972,0.6833,normal
150276,0.2344,-0.0913,0.5762,normal
150281,-0.5930,0.2664,0.5134,normal
150286,-0.7859,0.1448,0.3601,normal
150291,-0.3193,-0.4404,0.0784,normal
150296,0.5325,-0.4487,0.2981,normal
150301,0.8171,-0.1414,0.5144,normal
150306,0.6836,-0.1599,0.6929,normal
150311,-0.0859,0.0623,0.5100,normal
150316,-0.7117,0.3757,0.5166,normal
150321,-0.6936,-0.0767,0.2021,normal
150326,-0.0129,-0.5923,0.1277,normal
150331,0.7214,-0.3213,0.3562,normal
150336,0.8225,-0.0642,0.6208,normal
150341,0.5010,-0.1199,0.6372,normal
150346,-0.3567,0.1340,0.4861,normal
150351,-0.7612,0.2339,0.4565,normal
150356,-0.5273,-0.2729,0.1077,normal
150361,0.3223,-0.4702,0.2122,normal
150366,0.7815,-0.1353,0.4519,normal
150371,0.7712,-0.1096,0.6821,normal
150376,0.2029,-0.0984,0.5659,normal
150381,-0.5979,0.2734,0.5093,normal
150386,-0.7578,0.1592,0.3477,normal
150391,-0.3064,-0.4478,0.0784,normal
150396,0.5405,-0.4175,0.2896,normal
150401,0.8118,-0.0669,0.5291,normal
150406,0.6716,-0.1445,0.7002,normal
150411,-0.0657,-0.0271,0.5061,normal
150416,-0.7019,0.2759,0.5159,normal
150421,-0.6924,-0.0830,0.2153,normal
150426,-0.0261,-0.5295,0.1104,normal
150431,0.6885,-0.2986,0.3477,normal
150436,0.8135,-0.0466,0.6069,normal
150441,0.5303,-0.1331,0.6667,normal
150446,-0.2830,0.0969,0.4929,normal
150451,-0.7458,0.2388,0.4719,normal
150456,-0.5798,-0.2603,0.1233,normal
150461,0.2212,-0.5186,0.1814,normal
150466,0.7688,-0.1560,0.4048,normal
150471,0.7922,-0.0852,0.6738,normal
150476,0.3147,-0.1257,0.5930,normal
150481,-0.4978,0.2305,0.4907,normal
150486,-0.7720,0.2087,0.4036,normal
150491,-0.4138,-0.3750,0.0835,normal
150496,0.4233,-0.4453,0.2527,normal
150501,0.8047,-0.0664,0.4795,normal
150506,0.7317,-0.1052,0.7019,normal
150511,0.0991,-0.0728,0.5383,normal
150516,-0.6321,0.2688,0.5166,normal
150521,-0.7456,0.0520,0.3003,normal
150526,-0.2158,-0.4932,0.0913,normal
150531,0.5762,-0.3740,0.3181,normal
150536,0.8118,-0.0869,0.5486,normal
150541,0.6392,-0.1604,0.6929,normal
150546,-0.1262,0.0442,0.5020,normal
150551,-0.7122,0.3320,0.5212,normal
150556,-0.6658,-0.1348,0.1775,normal
150561,0.0139,-0.5991,0.1121,normal
150566,0.7097,-0.2778,0.3630,normal
150571,0.8174,-0.0212,0.6279,normal
150576,0.5046,-0.1499,0.6335,normal
150581,-0.3254,0.1101,0.4805,normal
150586,-0.7463,0.2522,0.4802,normal
150591,-0.5449,-0.2642,0.1177,normal
150596,0.2620,-0.5107,0.1882,normal
150601,0.7659,-0.1375,0.4211,normal
150606,0.7834,-0.0544,0.6821,normal
150611,0.3071,-0.1326,0.5852,normal
150616,-0.5129,0.1829,0.4878,normal
150621,-0.7605,0.2007,0.3977,normal
150626,-0.4065,-0.3584,0.0916,normal
150631,0.4263,-0.4275,0.2632,normal
150636,0.7983,-0.0688,0.4792,normal
150641,0.7283,-0.1182,0.7056,normal
150646,0.1028,-0.0706,0.5327,normal
150651,-0.6538,0.2642,0.5122,normal
150656,-0.7476,0.0510,0.3066,normal
150661,-0.2266,-0.4939,0.0764,normal
150666,0.5815,-0.3484,0.3228,normal
150671,0.8010,-0.0469,0.5486,normal
150676,-0.5222,0.2639,0.4966,normal
150681,-0.7666,0.2014,0.4011,normal
150686,-0.3962,-0.3958,0.0859,normal
150691,0.4365,-0.4668,0.2471,normal
150696,0.7883,-0.0994,0.4863,normal
150701,0.7205,-0.0920,0.7134,normal
150706,0.0957,-0.0334,0.5330,normal
150711,-0.6465,0.2761,0.5134,normal
150716,-0.7444,0.0156,0.3003,normal
150721,-0.2319,-0.5200,0.0796,normal
150726,0.5859,-0.3704,0.3174,normal
150731,0.7976,-0.0291,0.5479,normal
150736,0.6616,-0.1602,0.6992,normal
150741,-0.0876,-0.0171,0.4885,normal
150746,-0.7039,0.2998,0.5022,normal
150751,-0.6833,-0.0437,0.2146,normal
150756,-0.0474,-0.5630,0.1091,normal
150761,0.6714,-0.3335,0.3442,normal
150766,0.8086,-0.0574,0.6023,normal
150771,0.5720,-0.1282,0.6814,normal
150776,-0.2375,0.1145,0.4822,normal
150781,-0.7346,0.3098,0.5037,normal
150786,-0.6023,-0.2034,0.1377,normal
150791,0.1482,-0.5747,0.1567,normal
150796,0.7393,-0.1973,0.3901,normal
150801,0.8003,-0.0193,0.6575,normal
150806,0.4338,-0.1526,0.6243,normal
150811,-0.4062,0.1357,0.4795,normal
150816,-0.7446,0.2432,0.4424,normal
150821,-0.5076,-0.3069,0.1006,normal
150826,0.3018,-0.5144,0.2002,normal
150831,0.7690,-0.1648,0.4319,normal
150836,0.7642,-0.1230,0.6660,normal
150841,0.2610,-0.1475,0.5674,normal
150846,-0.5425,0.2434,0.4976,normal
150851,-0.7600,0.1912,0.3843,normal
150856,-0.3828,-0.4172,0.0803,normal
150861,0.4570,-0.4575,0.2678,normal
150866,0.8042,-0.0464,0.4912,normal
150871,0.7236,-0.0505,0.7173,normal
150876,0.0862,-0.0474,0.5220,normal
150881,-0.6555,0.2668,0.4963,normal
150886,-0.7419,0.0159,0.3022,normal
150891,-0.2097,-0.5486,0.0813,normal
150896,0.5740,-0.3955,0.3169,normal
150901,0.8142,-0.0264,0.5498,normal
150906,0.6604,-0.1030,0.7012,normal
150911,-0.0964,0.0083,0.5024,normal
150916,-0.7124,0.3037,0.5129,normal
150921,-0.6790,-0.0713,0.2075,normal
150926,-0.0344,-0.5730,0.1008,normal
150931,0.6924,-0.3032,0.3545,normal
150936,0.8120,-0.0493,0.5994,normal
150941,0.5469,-0.1655,0.6636,normal
150946,-0.2542,0.0530,0.4880,normal
150951,-0.7371,0.3010,0.4893,normal
150956,-0.5901,-0.1787,0.1301,normal
150961,0.1553,-0.5544,0.1572,normal
150966,0.7415,-0.2275,0.3960,normal
150971,0.8062,-0.0542,0.6436,normal
150976,0.4065,-0.1233,0.6086,normal
150981,-0.4397,0.1914,0.4773,normal
150986,-0.7605,0.2488,0.4460,normal
150991,-0.4863,-0.3398,0.0872,normal
150996,0.3416,-0.5022,0.2258,normal
151001,0.7834,-0.1255,0.4404,normal
151006,0.7607,-0.0964,0.6919,normal
151011,0.2021,-0.0967,0.5581,normal
151016,-0.5989,0.2988,0.5129,normal
151021,-0.7676,0.1577,0.3574,normal
151026,-0.3369,-0.4744,0.0872,normal
151031,0.4995,-0.4573,0.2800,normal
151036,0.8086,-0.0647,0.5110,normal
151041,0.7083,-0.1113,0.7075,normal
151046,-0.0188,-0.0400,0.5093,normal
151051,-0.6912,0.3010,0.5200,normal
151056,-0.7253,-0.0349,0.2495,normal
151061,-0.0889,-0.5281,0.1040,normal
151066,0.6855,-0.2874,0.3486,normal
151071,0.8281,-0.0234,0.5874,normal
151076,0.5903,-0.1609,0.6716,normal
151081,-0.2627,0.0310,0.4729,normal
151086,-0.7512,0.2693,0.4939,normal
151091,-0.6045,-0.1792,0.1416,normal
151096,0.1914,-0.5474,0.1575,normal
151101,0.7634,-0.2053,0.4102,normal
151106,0.8118,-0.0520,0.6689,normal
151111,0.3545,-0.1221,0.5972,normal
151116,-0.5083,0.1692,0.4807,normal
151121,-0.7715,0.2026,0.4189,normal
151126,-0.4309,-0.3921,0.1016,normal
151131,0.4500,-0.4666,0.2705,normal
151136,0.8164,-0.0908,0.4756,normal
151141,0.7290,-0.1123,0.7117,normal
151146,0.0625,-0.0635,0.5139,normal
151151,-0.6780,0.2795,0.5134,normal
151156,-0.7495,0.0374,0.2751,normal
151161,-0.1599,-0.5115,0.0918,normal
151166,0.6445,-0.3413,0.3279,normal
151171,0.8262,-0.0249,0.5776,normal
151176,0.6179,-0.1404,0.6838,normal
151181,-0.2227,0.0552,0.4888,normal
151186,-0.7488,0.2854,0.4993,normal
151191,-0.6245,-0.2017,0.1497,normal
151196,0.1504,-0.5303,0.1636,normal
151201,0.7695,-0.1626,0.4033,normal
151206,0.8176,-0.0588,0.6584,normal
151211,0.3672,-0.1440,0.5913,normal
151216,-0.4993,0.1997,0.4880,normal
151221,-0.7778,0.2397,0.4214,normal
151226,-0.4387,-0.3706,0.0942,normal
151231,0.4436,-0.4861,0.2485,normal
151236,0.8098,-0.0596,0.4863,normal
151241,0.7463,-0.0552,0.7051,normal
151246,0.0776,-0.0537,0.5151,normal
151251,-0.6926,0.2654,0.5063,normal
151256,-0.7517,0.0476,0.2764,normal
151261,-0.1743,-0.5068,0.0981,normal
151266,0.6382,-0.3586,0.3333,normal
151271,0.8159,-0.0632,0.5649,normal
151276,0.6182,-0.1677,0.6873,normal
151281,-0.2197,0.0337,0.4807,normal
151286,-0.7412,0.2871,0.4934,normal
151291,-0.6223,-0.1494,0.1572,normal
151296,0.1279,-0.5557,0.1431,normal
151301,0.7598,-0.2495,0.3833,normal
151306,0.8184,-0.0642,0.6494,normal
151311,0.4077,-0.1333,0.6152,normal
151316,-0.4363,0.1765,0.4912,normal
151321,-0.7744,0.2603,0.4395,normal
151326,-0.4810,-0.3132,0.1011,normal
151331,0.3755,-0.4993,0.2307,normal
151336,0.7874,-0.1294,0.4619,normal
151341,0.7578,-0.0947,0.6965,normal
151346,0.1548,-0.0979,0.5442,normal
151351,-0.6252,0.2649,0.5120,normal
151356,-0.7639,0.1311,0.3330,normal
151361,-0.2761,-0.4480,0.0840,normal
151366,0.5593,-0.4155,0.2974,normal
151371,0.8110,-0.0898,0.5320,normal
151376,0.6709,-0.1733,0.6897,normal
151381,-0.0923,-0.0413,0.4944,normal
151386,-0.7083,0.2659,0.5120,normal
151391,-0.6948,-0.0632,0.2126,normal
151396,-0.0208,-0.5454,0.1082,normal
151401,0.7048,-0.3140,0.3538,normal
151406,0.8293,-0.0728,0.5964,normal
151411,0.5359,-0.1453,0.6592,normal
151416,-0.3032,0.1465,0.4941,normal
151421,-0.7480,0.3403,0.4934,normal
151426,0.6057,-0.3794,0.3210,normal
151431,0.8167,-0.0151,0.5625,normal
151436,0.6426,-0.1211,0.6914,normal
151441,-0.1526,-0.0356,0.4741,normal
151446,-0.7283,0.2451,0.4976,normal
151451,-0.6484,-0.0767,0.1846,normal
151456,0.0635,-0.4812,0.1382,normal
151461,0.7261,-0.2410,0.3835,normal
151466,0.8196,-0.1003,0.6191,normal
151471,0.4751,-0.1741,0.6353,normal
151476,-0.3813,0.1484,0.4827,normal
151481,-0.7688,0.2573,0.4636,normal
151486,-0.5205,-0.2993,0.1023,normal
151491,0.3062,-0.5029,0.2168,normal
151496,0.7798,-0.1384,0.4370,normal
151501,0.7771,-0.0593,0.6946,normal
151506,0.2346,-0.0847,0.5645,normal
151511,-0.5803,0.2229,0.4863,normal
151516,-0.7695,0.1238,0.3591,normal
151521,-0.3335,-0.4304,0.0750,normal
151526,0.4956,-0.4290,0.2937,normal
151531,0.8210,-0.0806,0.5085,normal
151536,0.7178,-0.1067,0.7163,normal
151541,-0.0017,-0.0332,0.5168,normal
151546,-0.6958,0.2864,0.5115,normal
151551,-0.7256,-0.0139,0.2498,normal
151556,-0.1436,-0.5356,0.1030,normal
151561,0.6550,-0.3335,0.3445,normal
151566,0.8298,-0.0366,0.5886,normal
151571,0.6133,-0.1135,0.7002,normal
151576,-0.2017,0.0444,0.4727,normal
151581,-0.7322,0.2761,0.4902,normal
151586,-0.6335,-0.1477,0.1660,normal
151591,0.0930,-0.5273,0.1357,normal
151596,0.7471,-0.2424,0.3831,normal
151601,0.8250,-0.0615,0.6287,normal
151606,0.4788,-0.1516,0.6340,normal
151611,-0.3804,0.1296,0.4695,normal
151616,-0.7524,0.2966,0.4680,normal
151621,-0.5403,-0.2617,0.1040,normal
151626,0.2690,-0.5146,0.2095,normal
151631,0.7781,-0.1580,0.4214,normal
151636,0.7839,-0.0637,0.6824,normal
151641,0.2993,-0.1189,0.5793,normal
151646,-0.5432,0.1917,0.4883,normal
151651,-0.7742,0.1755,0.3958,normal
151656,-0.4094,-0.4263,0.0811,normal
151661,0.4473,-0.4460,0.2690,normal
151666,0.8047,-0.0576,0.4866,normal
151671,0.7314,-0.0923,0.6963,normal
151676,0.0686,-0.0703,0.5193,normal
151681,-0.6650,0.2300,0.4988,normal
151686,-0.7439,0.0239,0.2788,normal
151691,-0.2043,-0.4900,0.0967,normal
151696,0.6104,-0.3640,0.3354,normal
151701,0.8232,-0.0718,0.5457,normal
151706,0.6499,-0.1692,0.6824,normal
151711,-0.1587,0.0183,0.4968,normal
151716,-0.7295,0.3044,0.5100,normal
151721,-0.6716,-0.1270,0.1780,normal
151726,0.0479,-0.5798,0.1272,normal
151731,0.7349,-0.2539,0.3853,normal
